"FileName","State","Kind","Bytes","Sha256","DistributionReview"
"epicfight_leonidas-1.0.1.jar","active","upstream-or-third-party","8366555","1a6ee8b1867caedbfb27798ffac09e16e9632fcc4514ede8098ba7961bf226f7","provider-metadata-required"
"epic-fight-20.14.12-mc1.20.1-forge.jar","active","upstream-or-third-party","8044631","cecc93f453b1af788c3f9e79204424926407a7392d91cc140674fae09f08c9c1","provider-metadata-required"
"epicfight-extra-1.1.4-mc1.20.1-forge-all.jar","active","upstream-or-third-party","23580690","7ae17f7d254259f80e024dc4a557cbda4102963835f843f5f45483ac2afb373b","provider-metadata-required"
"epic-fight-invincible-lib-20.14.8.2-mc1.20.1-forge.jar","active","upstream-or-third-party","268536","0017db1a54bca5ac90ac7e4010e3a59a93ab287ad2a6b68b6781dd5beabf31ed","provider-metadata-required"
"epicfight-skilltree-forge-20.2.6.5-1.20.1.jar","active","upstream-or-third-party","326274","75aa5ca5a5fe24c247c91bb3088ee2bdfb8890eb96e74bb22953de18bcf13d31","provider-metadata-required"
"epic-knights-1.20.1-forge-10.11.jar","active","upstream-or-third-party","2913733","6043fdc77ea9651b1293e8602c8e858c728628f6f6b6e9efa247e4281f4ca733","provider-metadata-required"
"expandability-9.0.4.jar","active","upstream-or-third-party","80765","c1f7c3ba5873bb4797d2124c57bab3189acdb62d02f63217db1456d232dac20f","provider-metadata-required"
"explorerscompass-edited-1.20.1-1.4.0-forge.jar.disabled","disabled","local-or-patched","186196","216e13b90e5bd04595f33aa674f2496130019a43b8631f56a3ff8bc4cf31e1ac","license-and-authorship-required"
"fallingtrees-forge-mc1.20-0.13.2-SNAPSHOT.jar","active","upstream-or-third-party","4025908","6b4853214c5cc156b187b86162df2db028c0ddcf90380fa1897068cde2622de1","provider-metadata-required"
"Fancy-Trail1.20.1-1.1.5-all.jar","active","upstream-or-third-party","5911422","6c7e7cb69eae45b019d750691148b33c326915cad65cae2beea7edaf1e71494a","provider-metadata-required"
"fantasy_armor-forge-1.2-1.20.1.jar","active","upstream-or-third-party","544531","c954e9055be18bf14eb6c3bb14329fc49cd73787fa45f45dadf36462f200275f","provider-metadata-required"
"FarmersDelight-1.20.1-1.2.11.jar","active","upstream-or-third-party","2963127","9a2db05541f07e15a81d514f4f47627f1c738d0464c1885765aa460117909318","provider-metadata-required"
"fast_tpa-forge1.20.1-1754790334-1.2.1.jar","active","upstream-or-third-party","29118","a50db3af8c22f0f891d76be224695c523f6705faaab2bb0373021b7a4e32a9b6","provider-metadata-required"
"FastEvent-1.20.1-1.1.1.jar","active","upstream-or-third-party","32785","fad6bd3c5d882a924934f119d4df83570c24610a06c4f76ac2c36b487edc7727","provider-metadata-required"
"fdlib-1.0.8-1.20.1.jar","active","upstream-or-third-party","1645858","434d14d4bb3e703be71210e1ffc22003bb5a583f3cde82904b84687c3b1651dd","provider-metadata-required"
